PRISM Time Series Data
Location:  Lat: 39.7519   Lon: -104.9923   Elev: 1592m
Climate variable: ppt
Spatial resolution: 4km
Period: 1990-01 - 2015-12
Dataset: AN81m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2016-Sep-19
details: http://rma.nacse.org/documents/PRISM_datasets.pdf
Date,ppt (mm)
2006-10,57.48
2006-11,10.72
2006-12,66.48
2007-01,24.01
2007-02, 9.60
2007-03,33.23
2007-04,73.83
2007-05,88.11
2007-06,12.87
2007-07,41.60
2007-08,58.15
2007-09,18.10
2007-10,32.18
2007-11, 5.22
2007-12,35.55
2008-01,10.78
2008-02,14.53
2008-03,17.47
2008-04,20.64
2008-05,52.33
2008-06,14.59
2008-07, 4.46
2008-08,97.43
2008-09,36.80
2008-10,17.32
2008-11, 5.30
2008-12,16.86
2009-01,13.47
2009-02, 4.11
2009-03,29.12
2009-04,109.50
2009-05,70.78
2009-06,87.34
2009-07,67.84
2009-08,22.00
2009-09,20.29
2009-10,62.17
2009-11,16.21
2009-12,17.87
2010-01, 3.47
2010-02,20.39
2010-03,47.42
2010-04,59.85
2010-05,47.25
2010-06,50.09
2010-07,30.36
2010-08,22.89
2010-09, 2.89
2010-10,12.32
2010-11,14.39
2010-12, 5.89
2011-01,15.59
2011-02,22.25
2011-03, 6.21
2011-04,33.07
2011-05,98.02
2011-06,37.97
2011-07,144.12
2011-08, 6.66
2011-09,33.00
2011-10,46.46
2011-11,13.22
2011-12,30.89
2012-01, 7.80
2012-02,35.12
2012-03, 0.27
2012-04,24.55
2012-05,41.85
2012-06, 8.45
2012-07,59.67
2012-08, 8.79
2012-09,55.16
2012-10,23.26
2012-11, 7.99
2012-12, 6.88
2013-01, 6.21
2013-02,20.20
2013-03,31.07
2013-04,40.07
2013-05,44.15
2013-06,16.83
2013-07,55.03
2013-08,33.90
2013-09,134.92
2013-10,21.88
2013-11, 3.41
2013-12, 8.34
2014-01,26.83
2014-02, 7.19
2014-03,25.73
2014-04,32.54
2014-05,103.23
2014-06,26.88
2014-07,109.61
2014-08,43.58
2014-09,50.79
2014-10,27.54
2014-11,18.43
2014-12,19.73
2015-01, 7.10
2015-02,61.76
2015-03,16.66
2015-04,62.45
2015-05,149.91
2015-06,159.63
2015-07,39.07
2015-08,14.99
2015-09, 7.08
2015-10,47.04
2015-11,54.67
2015-12,20.98
